Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
01-01-2021,43,20.45,0,,,,,,
02-01-2021,42,20,0,,,,,,
03-01-2021,42,20,0,,,,,,
04-01-2021,43,20.45,0,,,,,,
05-01-2021,43,20.45,0,,,,,,
06-01-2021,43,20.45,0,,,,,,
07-01-2021,44,20.9,0,,,,,,
08-01-2021,44,20.9,0,,,,,,
09-01-2021,44,20.9,0,,,,,,
10-01-2021,45,21.4,0,,,,,,
11-01-2021,45,21.4,0,,,,,,
12-01-2021,45,21.4,0,,,,,,
13-01-2021,45,21.4,0,,,,,,
14-01-2021,45,21.4,0,,,,,,
15-01-2021,44,20.9,0,,,,,,
16-01-2021,44,20.9,0,,,,,,
17-01-2021,44,20.9,0,,,,,,
18-01-2021,43,20.45,0,,,,,,
19-01-2021,43,20.45,0,,,,,,
20-01-2021,44,20.9,0,,,,,,
21-01-2021,44,20.9,0,,,,,,
22-01-2021,44,20.9,0,,,,,,
23-01-2021,45,21.4,0,,,,,,
24-01-2021,45,21.4,0,,,,,,
25-01-2021,44,20.9,0,,,,,,
26-01-2021,44,20.9,0,,,,,,
27-01-2021,43,20.45,0,,,,,,
28-01-2021,43,20.45,0,,,,,,
29-01-2021,43,20.45,0,,,,,,
30-01-2021,43,20.45,0,,,,,,
31-01-2021,43,20.45,0,,,,,,
,,,,,,,,,
Foods,,,,,,,,,
Date,Calories In,,,,,,,,
01-01-2021,2344,,,,,,,,
02-01-2021,2464,,,,,,,,
03-01-2021,2742,,,,,,,,
04-01-2021,2782,,,,,,,,
05-01-2021,2740,,,,,,,,
06-01-2021,2794,,,,,,,,
07-01-2021,3066,,,,,,,,
08-01-2021,2349,,,,,,,,
09-01-2021,2057,,,,,,,,
10-01-2021,2451,,,,,,,,
11-01-2021,2592,,,,,,,,
12-01-2021,2940,,,,,,,,
13-01-2021,2176,,,,,,,,
14-01-2021,2597,,,,,,,,
15-01-2021,2961,,,,,,,,
16-01-2021,2214,,,,,,,,
17-01-2021,2690,,,,,,,,
18-01-2021,2012,,,,,,,,
19-01-2021,2283,,,,,,,,
20-01-2021,2752,,,,,,,,
21-01-2021,2750,,,,,,,,
22-01-2021,2041,,,,,,,,
23-01-2021,1929,,,,,,,,
24-01-2021,2540,,,,,,,,
25-01-2021,2998,,,,,,,,
26-01-2021,2009,,,,,,,,
27-01-2021,2310,,,,,,,,
28-01-2021,1930,,,,,,,,
29-01-2021,2070,,,,,,,,
30-01-2021,1975,,,,,,,,
31-01-2021,2512,,,,,,,,
,,,,,,,,,
Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-01-2021,"1,585",3156,3,0,756,314,85,17,117
02-01-2021,"1,313",2824,3,0,686,172,72,13,187
03-01-2021,"1,539",3179,1,0,642,137,79,28,226
04-01-2021,"1,319",2091,1,0,740,168,84,1,240
05-01-2021,"1,069",2033,2,0,520,179,70,18,228
06-01-2021,800,3252,1,0,716,189,90,33,306
07-01-2021,"1,209",3702,2,0,860,321,79,8,220
08-01-2021,"1,381",2451,3,0,521,328,70,26,240
09-01-2021,"1,270",3406,1,0,622,241,88,32,190
10-01-2021,"1,564",2147,3,0,829,377,90,34,332
11-01-2021,"1,239",2722,1,0,899,314,81,33,131
12-01-2021,"1,454",3228,2,0,722,344,87,11,172
13-01-2021,"1,473",3663,2,0,842,255,89,13,315
14-01-2021,"1,127",3900,3,0,887,353,84,32,245
15-01-2021,"1,433",3099,3,0,814,302,88,18,323
16-01-2021,"1,317",3177,3,0,613,193,78,9,190
17-01-2021,887,3537,2,0,746,377,72,39,139
18-01-2021,"1,311",3169,2,0,873,299,81,37,223
19-01-2021,"1,459",2411,3,0,607,254,81,3,262
20-01-2021,"1,560",3817,2,0,773,182,73,12,227
21-01-2021,"1,176",3556,1,0,641,114,80,17,342
22-01-2021,"1,070",3131,2,0,632,252,72,27,244
23-01-2021,"1,536",2110,3,0,727,366,88,22,332
24-01-2021,"1,433",2583,3,0,585,315,83,10,243
25-01-2021,"1,226",3298,3,0,791,110,85,2,217
26-01-2021,"1,498",2254,3,0,569,309,72,24,112
27-01-2021,"1,595",3283,2,0,504,287,73,21,246
28-01-2021,"1,297",2035,3,0,814,231,89,9,307
29-01-2021,918,2466,1,0,818,285,84,13,282
30-01-2021,"1,321",2232,1,0,780,104,81,19,198
31-01-2021,"1,474",2981,1,0,821,364,75,29,278
,,,,,,,,,
Sleep,,,,,,,,,
