Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
01-02-2021,43,20.45,0,,,,,,
02-02-2021,43,20.45,0,,,,,,
03-02-2021,43,20.45,0,,,,,,
04-02-2021,44,20.9,0,,,,,,
05-02-2021,44,20.9,0,,,,,,
06-02-2021,44,20.9,0,,,,,,
07-02-2021,44,20.9,0,,,,,,
08-02-2021,45,21.4,0,,,,,,
09-02-2021,45,21.4,0,,,,,,
10-02-2021,46,21.9,0,,,,,,
11-02-2021,46,21.9,0,,,,,,
12-02-2021,46,21.9,0,,,,,,
13-02-2021,45,21.4,0,,,,,,
14-02-2021,45,21.4,0,,,,,,
15-02-2021,45,21.4,0,,,,,,
16-02-2021,45,21.4,0,,,,,,
17-02-2021,45,21.4,0,,,,,,
18-02-2021,45,21.4,0,,,,,,
19-02-2021,44,20.9,0,,,,,,
20-02-2021,45,21.4,0,,,,,,
21-02-2021,45,21.4,0,,,,,,
22-02-2021,45,21.4,0,,,,,,
23-02-2021,44,20.9,0,,,,,,
24-02-2021,44,20.9,0,,,,,,
25-02-2021,44,20.9,0,,,,,,
26-02-2021,44,20.9,0,,,,,,
27-02-2021,45,21.4,0,,,,,,
28-02-2021,45,21.4,0,,,,,,
,,,,,,,,,
Foods,,,,,,,,,
Date,Calories In,,,,,,,,
01-02-2021,2492,,,,,,,,
02-02-2021,2698,,,,,,,,
03-02-2021,2029,,,,,,,,
04-02-2021,2449,,,,,,,,
05-02-2021,2477,,,,,,,,
06-02-2021,2756,,,,,,,,
07-02-2021,2969,,,,,,,,
08-02-2021,2748,,,,,,,,
09-02-2021,2805,,,,,,,,
10-02-2021,2334,,,,,,,,
11-02-2021,2760,,,,,,,,
12-02-2021,2163,,,,,,,,
13-02-2021,2746,,,,,,,,
14-02-2021,1928,,,,,,,,
15-02-2021,2867,,,,,,,,
16-02-2021,2922,,,,,,,,
17-02-2021,2994,,,,,,,,
18-02-2021,2622,,,,,,,,
19-02-2021,2088,,,,,,,,
20-02-2021,2502,,,,,,,,
21-02-2021,2527,,,,,,,,
22-02-2021,2305,,,,,,,,
