Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
01-03-2021,45,21.4,0,,,,,,
02-03-2021,45,21.4,0,,,,,,
03-03-2021,44,20.9,0,,,,,,
04-03-2021,44,20.9,0,,,,,,
05-03-2021,44,20.9,0,,,,,,
06-03-2021,43,20.45,0,,,,,,
07-03-2021,44,20.9,0,,,,,,
08-03-2021,43,20.45,0,,,,,,
09-03-2021,43,20.45,0,,,,,,
10-03-2021,43,20.45,0,,,,,,
11-03-2021,43,20.45,0,,,,,,
12-03-2021,44,20.9,0,,,,,,
13-03-2021,43,20.45,0,,,,,,
14-03-2021,43,20.45,0,,,,,,
15-03-2021,42,20,0,,,,,,
16-03-2021,42,20,0,,,,,,
17-03-2021,42,20,0,,,,,,
18-03-2021,43,20.45,0,,,,,,
19-03-2021,43,20.45,0,,,,,,
20-03-2021,43,20.45,0,,,,,,
21-03-2021,43,20.45,0,,,,,,
22-03-2021,43,20.45,0,,,,,,
23-03-2021,43,20.45,0,,,,,,
24-03-2021,43,20.45,0,,,,,,
25-03-2021,44,20.9,0,,,,,,
26-03-2021,45,21.4,0,,,,,,
27-03-2021,45,21.4,0,,,,,,
28-03-2021,45,21.4,0,,,,,,
29-03-2021,45,21.4,0,,,,,,
30-03-2021,44,20.9,0,,,,,,
31-03-2021,44,20.9,0,,,,,,
,,,,,,,,,
Foods,,,,,,,,,
Date,Calories In,,,,,,,,
01-03-2021,3035,,,,,,,,
02-03-2021,2339,,,,,,,,
03-03-2021,2623,,,,,,,,
04-03-2021,3089,,,,,,,,
05-03-2021,2948,,,,,,,,
06-03-2021,2350,,,,,,,,
07-03-2021,2763,,,,,,,,
08-03-2021,2198,,,,,,,,
09-03-2021,2005,,,,,,,,
10-03-2021,2700,,,,,,,,
11-03-2021,2953,,,,,,,,
12-03-2021,2388,,,,,,,,
13-03-2021,2588,,,,,,,,
14-03-2021,2207,,,,,,,,
15-03-2021,2765,,,,,,,,
16-03-2021,2203,,,,,,,,
17-03-2021,2017,,,,,,,,
18-03-2021,2531,,,,,,,,
19-03-2021,1937,,,,,,,,
20-03-2021,2056,,,,,,,,
21-03-2021,2350,,,,,,,,
22-03-2021,2012,,,,,,,,
23-03-2021,2493,,,,,,,,
24-03-2021,2788,,,,,,,,
25-03-2021,2485,,,,,,,,
26-03-2021,2119,,,,,,,,
27-03-2021,3062,,,,,,,,
