Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
01-06-2021,45,21.4,0,,,,,,
02-06-2021,45,21.4,0,,,,,,
03-06-2021,44,20.9,0,,,,,,
04-06-2021,44,20.9,0,,,,,,
05-06-2021,44,20.9,0,,,,,,
06-06-2021,43,20.45,0,,,,,,
07-06-2021,44,20.9,0,,,,,,
08-06-2021,43,20.45,0,,,,,,
09-06-2021,43,20.45,0,,,,,,
10-06-2021,43,20.45,0,,,,,,
11-06-2021,43,20.45,0,,,,,,
12-06-2021,44,20.9,0,,,,,,
13-06-2021,43,20.45,0,,,,,,
14-06-2021,43,20.45,0,,,,,,
15-06-2021,42,20,0,,,,,,
16-06-2021,42,20,0,,,,,,
17-06-2021,42,20,0,,,,,,
18-06-2021,43,20.45,0,,,,,,
19-06-2021,43,20.45,0,,,,,,
20-06-2021,43,20.45,0,,,,,,
21-06-2021,43,20.45,0,,,,,,
22-06-2021,43,20.45,0,,,,,,
23-06-2021,43,20.45,0,,,,,,
24-06-2021,43,20.45,0,,,,,,
25-06-2021,44,20.9,0,,,,,,
26-06-2021,45,21.4,0,,,,,,
27-06-2021,45,21.4,0,,,,,,
28-06-2021,45,21.4,0,,,,,,
29-06-2021,45,21.4,0,,,,,,
30-06-2021,44,20.9,0,,,,,,
,,,,,,,,,
Foods,,,,,,,,,
Date,Calories In,,,,,,,,
01-06-2021,2956,,,,,,,,
02-06-2021,2782,,,,,,,,
03-06-2021,2042,,,,,,,,
04-06-2021,2829,,,,,,,,
05-06-2021,2490,,,,,,,,
06-06-2021,2852,,,,,,,,
07-06-2021,2013,,,,,,,,
08-06-2021,1937,,,,,,,,
09-06-2021,1978,,,,,,,,
10-06-2021,2399,,,,,,,,
11-06-2021,2267,,,,,,,,
12-06-2021,1968,,,,,,,,
13-06-2021,2243,,,,,,,,
14-06-2021,2575,,,,,,,,
15-06-2021,2213,,,,,,,,
16-06-2021,2383,,,,,,,,
17-06-2021,2948,,,,,,,,
18-06-2021,2181,,,,,,,,
19-06-2021,2208,,,,,,,,
20-06-2021,2715,,,,,,,,
21-06-2021,1967,,,,,,,,
22-06-2021,2938,,,,,,,,
23-06-2021,2288,,,,,,,,
24-06-2021,2126,,,,,,,,
25-06-2021,2740,,,,,,,,
26-06-2021,2813,,,,,,,,
27-06-2021,2258,,,,,,,,
28-06-2021,2550,,,,,,,,
29-06-2021,2393,,,,,,,,
30-06-2021,2734,,,,,,,,
,,,,,,,,,
Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-06-2021,"1,532","3,537",3,0,815,389,92,30,144
02-06-2021,"1,249","2,685",2,0,703,266,77,35,235
03-06-2021,"1,247","2,880",4,0,780,322,78,22,315
04-06-2021,"1,247","3,482",3,0,688,273,91,8,235
05-06-2021,"1,247","2,481",1,0,578,127,91,4,167
06-06-2021,"1,247","2,976",2,0,642,274,78,4,278
07-06-2021,"1,247","3,972",3,0,510,139,100,32,218
08-06-2021,"1,247","3,401",1,0,889,269,76,0,327
09-06-2021,"1,247","2,519",3,0,665,358,80,27,217
10-06-2021,"1,247","2,769",1,0,691,144,95,22,171
11-06-2021,"1,247","3,512",2,0,827,235,74,6,231
12-06-2021,"1,247","3,652",4,0,843,103,98,35,173
13-06-2021,"1,247","3,395",3,0,694,150,77,36,346
14-06-2021,"1,247","2,086",2,0,701,268,90,8,281
15-06-2021,"1,247","2,902",3,0,701,233,74,4,180
16-06-2021,"1,247","2,574",1,0,815,305,85,5,197
17-06-2021,"1,247","3,886",4,0,534,276,93,5,339
18-06-2021,"1,247","2,903",2,0,501,300,88,2,225
19-06-2021,"1,247","2,713",4,0,719,156,74,19,341
20-06-2021,"1,247","3,767",3,0,550,325,79,15,286
21-06-2021,"1,247","3,609",3,0,586,224,85,15,243
22-06-2021,"1,247","2,697",4,0,501,133,97,9,109
23-06-2021,"1,247","2,839",2,0,659,233,74,27,270
24-06-2021,"1,247","2,970",4,0,731,305,72,18,165
25-06-2021,"1,247","3,109",2,0,625,310,90,28,277
26-06-2021,"1,247","2,258",2,0,887,221,75,34,284
27-06-2021,"1,247","2,278",1,0,567,163,82,39,156
28-06-2021,"1,247","3,020",2,0,588,255,78,24,257
29-06-2021,"1,247","2,196",1,0,537,268,93,6,147
30-06-2021,"1,247","3,407",1,0,652,254,93,24,124
,,,,,,,,,
Sleep,,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,
,,,,,,,,,
Food Log 20210601,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210602,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210603,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210604,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210605,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210606,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
